Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2010,A,0,_X,A,N,SH_DYN_IMRT,VN,,Y0,,PER_1000_LIVE_BIRTHS,15.8
2011,A,0,_X,A,N,SH_DYN_IMRT,VN,,Y0,,PER_1000_LIVE_BIRTHS,15.5
2012,A,0,_X,A,N,SH_DYN_IMRT,VN,,Y0,,PER_1000_LIVE_BIRTHS,15.4
2013,A,0,_X,A,N,SH_DYN_IMRT,VN,,Y0,,PER_1000_LIVE_BIRTHS,15.3
2014,A,0,_X,A,N,SH_DYN_IMRT,VN,,Y0,,PER_1000_LIVE_BIRTHS,14.9
2015,A,0,_X,A,N,SH_DYN_IMRT,VN,,Y0,,PER_1000_LIVE_BIRTHS,14.7
2016,A,0,_X,A,N,SH_DYN_IMRT,VN,,Y0,,PER_1000_LIVE_BIRTHS,14.5
2017,A,0,_X,A,N,SH_DYN_IMRT,VN,,Y0,,PER_1000_LIVE_BIRTHS,14.4
2018,A,0,_X,A,N,SH_DYN_IMRT,VN,,Y0,,PER_1000_LIVE_BIRTHS,14.2
2019,A,0,_X,A,N,SH_DYN_IMRT,VN,,Y0,,PER_1000_LIVE_BIRTHS,14.0
2010,A,0,_X,A,N,SH_DYN_IMRT,VN,M,Y0,,PER_1000_LIVE_BIRTHS,17.9
2011,A,0,_X,A,N,SH_DYN_IMRT,VN,M,Y0,,PER_1000_LIVE_BIRTHS,17.5
2012,A,0,_X,A,N,SH_DYN_IMRT,VN,M,Y0,,PER_1000_LIVE_BIRTHS,17.5
2013,A,0,_X,A,N,SH_DYN_IMRT,VN,M,Y0,,PER_1000_LIVE_BIRTHS,17.4
2014,A,0,_X,A,N,SH_DYN_IMRT,VN,M,Y0,,PER_1000_LIVE_BIRTHS,16.9
2015,A,0,_X,A,N,SH_DYN_IMRT,VN,M,Y0,,PER_1000_LIVE_BIRTHS,16.7
2016,A,0,_X,A,N,SH_DYN_IMRT,VN,M,Y0,,PER_1000_LIVE_BIRTHS,16.4
2017,A,0,_X,A,N,SH_DYN_IMRT,VN,M,Y0,,PER_1000_LIVE_BIRTHS,16.3
2018,A,0,_X,A,N,SH_DYN_IMRT,VN,M,Y0,,PER_1000_LIVE_BIRTHS,16.1
2019,A,0,_X,A,N,SH_DYN_IMRT,VN,M,Y0,,PER_1000_LIVE_BIRTHS,15.8
2010,A,0,_X,A,N,SH_DYN_IMRT,VN,F,Y0,,PER_1000_LIVE_BIRTHS,13.6
2011,A,0,_X,A,N,SH_DYN_IMRT,VN,F,Y0,,PER_1000_LIVE_BIRTHS,13.4
2012,A,0,_X,A,N,SH_DYN_IMRT,VN,F,Y0,,PER_1000_LIVE_BIRTHS,13.3
2013,A,0,_X,A,N,SH_DYN_IMRT,VN,F,Y0,,PER_1000_LIVE_BIRTHS,13.2
2014,A,0,_X,A,N,SH_DYN_IMRT,VN,F,Y0,,PER_1000_LIVE_BIRTHS,12.9
2015,A,0,_X,A,N,SH_DYN_IMRT,VN,F,Y0,,PER_1000_LIVE_BIRTHS,12.7
2016,A,0,_X,A,N,SH_DYN_IMRT,VN,F,Y0,,PER_1000_LIVE_BIRTHS,12.5
2017,A,0,_X,A,N,SH_DYN_IMRT,VN,F,Y0,,PER_1000_LIVE_BIRTHS,12.3
