Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2014,A,0,_X,A,N,SH_STA_SCIDE,VN,,PER_100_POP,5.86
2015,A,0,_X,A,N,SH_STA_SCIDE,VN,,PER_100_POP,5.87
2016,A,0,_X,A,N,SH_STA_SCIDE,VN,,PER_100_POP,5.73
2017,A,0,_X,A,N,SH_STA_SCIDE,VN,,PER_100_POP,5.32
2014,A,0,_X,A,N,SH_STA_SCIDE,VN,M,PER_100_POP,7.96
2015,A,0,_X,A,N,SH_STA_SCIDE,VN,M,PER_100_POP,8.17
2016,A,0,_X,A,N,SH_STA_SCIDE,VN,M,PER_100_POP,7.84
2017,A,0,_X,A,N,SH_STA_SCIDE,VN,M,PER_100_POP,7.54
2014,A,0,_X,A,N,SH_STA_SCIDE,VN,F,PER_100_POP,3.79
2015,A,0,_X,A,N,SH_STA_SCIDE,VN,F,PER_100_POP,3.7
2016,A,0,_X,A,N,SH_STA_SCIDE,VN,F,PER_100_POP,3.6
2017,A,0,_X,A,N,SH_STA_SCIDE,VN,F,PER_100_POP,3.12
