Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Millions,Not Available,Annual,National,Freight volume (tonne kilometres) [9.1.2],Viet Nam,Tonne kilometres,217767.1
2011,Normal value,Millions,Not Available,Annual,National,Freight volume (tonne kilometres) [9.1.2],Viet Nam,Tonne kilometres,216129.5
2012,Normal value,Millions,Not Available,Annual,National,Freight volume (tonne kilometres) [9.1.2],Viet Nam,Tonne kilometres,215735.8
2013,Normal value,Millions,Not Available,Annual,National,Freight volume (tonne kilometres) [9.1.2],Viet Nam,Tonne kilometres,218228.1
2014,Normal value,Millions,Not Available,Annual,National,Freight volume (tonne kilometres) [9.1.2],Viet Nam,Tonne kilometres,223151.1
2015,Normal value,Millions,Not Available,Annual,National,Freight volume (tonne kilometres) [9.1.2],Viet Nam,Tonne kilometres,230050.4
2016,Normal value,Millions,Not Available,Annual,National,Freight volume (tonne kilometres) [9.1.2],Viet Nam,Tonne kilometres,241376.9
2017,Normal value,Millions,Not Available,Annual,National,Freight volume (tonne kilometres) [9.1.2],Viet Nam,Tonne kilometres,255932.9
2018,Normal value,Millions,Not Available,Annual,National,Freight volume (tonne kilometres) [9.1.2],Viet Nam,Tonne kilometres,273097.0
2019,Normal value,Millions,Not Available,Annual,National,Freight volume (tonne kilometres) [9.1.2],Viet Nam,Tonne kilometres,294595.2
