Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2012,Normal value,Units,Not Available,Annual,National,Renewable energy share in the total final energy consumption [7.2.1],Viet Nam,Percent,14.1
2014,Normal value,Units,Not Available,Annual,National,Renewable energy share in the total final energy consumption [7.2.1],Viet Nam,Percent,14.4
2015,Normal value,Units,Not Available,Annual,National,Renewable energy share in the total final energy consumption [7.2.1],Viet Nam,Percent,24.9
2016,Normal value,Units,Not Available,Annual,National,Renewable energy share in the total final energy consumption [7.2.1],Viet Nam,Percent,24.15
2017,Normal value,Units,Not Available,Annual,National,Renewable energy share in the total final energy consumption [7.2.1],Viet Nam,Percent,26.15
2018,Normal value,Units,Not Available,Annual,National,Renewable energy share in the total final energy consumption [7.2.1],Viet Nam,Percent,24.16
