Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Viet Nam,Hectares,13388.1
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Viet Nam,Hectares,13515.1
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Viet Nam,Hectares,13862.0
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Viet Nam,Hectares,13954.4
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Viet Nam,Hectares,13796.5
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Viet Nam,Hectares,14061.9
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Viet Nam,Hectares,14377.7
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Viet Nam,Hectares,14491.3
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Viet Nam,Hectares,14609.2
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Red River Delta,Hectares,434.9
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Red River Delta,Hectares,440.8
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Red River Delta,Hectares,447.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Red River Delta,Hectares,466.0
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Red River Delta,Hectares,482.9
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Red River Delta,Hectares,491.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Red River Delta,Hectares,487.8
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Red River Delta,Hectares,487.0
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Red River Delta,Hectares,486.9
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern midlands and mountain areas,Hectares,4675.0
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern midlands and mountain areas,Hectares,4746.5
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern midlands and mountain areas,Hectares,4925.2
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern midlands and mountain areas,Hectares,4959.3
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern midlands and mountain areas,Hectares,5030.0
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern midlands and mountain areas,Hectares,5082.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern midlands and mountain areas,Hectares,5098.0
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern midlands and mountain areas,Hectares,5203.4
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern midlands and mountain areas,Hectares,5278.5
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern Central area and Central coastal area,Hectares,4726.9
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern Central area and Central coastal area,Hectares,4796.7
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern Central area and Central coastal area,Hectares,4864.2
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern Central area and Central coastal area,Hectares,4931.4
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern Central area and Central coastal area,Hectares,4969.5
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern Central area and Central coastal area,Hectares,5179.8
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern Central area and Central coastal area,Hectares,5522.0
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern Central area and Central coastal area,Hectares,5513.8
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Northern Central area and Central coastal area,Hectares,5553.6
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Central Highlands,Hectares,2874.4
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Central Highlands,Hectares,2848.0
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Central Highlands,Hectares,2903.9
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Central Highlands,Hectares,2848.7
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Central Highlands,Hectares,2567.1
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Central Highlands,Hectares,2562.0
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Central Highlands,Hectares,2558.7
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Central Highlands,Hectares,2557.4
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Central Highlands,Hectares,2559.9
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],South East,Hectares,408.0
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],South East,Hectares,423.0
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],South East,Hectares,471.8
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],South East,Hectares,466.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],South East,Hectares,476.2
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],South East,Hectares,473.9
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],South East,Hectares,485.1
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],South East,Hectares,486.7
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],South East,Hectares,480.9
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Mekong River Delta,Hectares,268.9
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Mekong River Delta,Hectares,260.1
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Mekong River Delta,Hectares,249.2
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Mekong River Delta,Hectares,282.1
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Mekong River Delta,Hectares,270.8
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Mekong River Delta,Hectares,272.0
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Mekong River Delta,Hectares,226.1
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Mekong River Delta,Hectares,243.1
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Mekong River Delta,Hectares,249.3
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Noi,Hectares,24.3
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Noi,Hectares,24.3
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Noi,Hectares,24.5
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Noi,Hectares,23.8
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Noi,Hectares,23.7
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Noi,Hectares,20.0
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Noi,Hectares,20.0
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Noi,Hectares,19.6
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Noi,Hectares,19.6
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Vinh Phuc,Hectares,28.5
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Vinh Phuc,Hectares,28.2
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Vinh Phuc,Hectares,31.0
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Vinh Phuc,Hectares,31.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Vinh Phuc,Hectares,31.8
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Vinh Phuc,Hectares,33.3
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Vinh Phuc,Hectares,33.3
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Vinh Phuc,Hectares,33.5
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Vinh Phuc,Hectares,33.2
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Ninh,Hectares,0.6
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Ninh,Hectares,0.6
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Ninh,Hectares,0.6
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Ninh,Hectares,0.6
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Ninh,Hectares,0.6
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Ninh,Hectares,0.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Ninh,Hectares,0.6
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Ninh,Hectares,0.6
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Ninh,Hectares,0.6
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Ninh,Hectares,310.4
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Ninh,Hectares,316.6
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Ninh,Hectares,322.4
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Ninh,Hectares,340.7
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Ninh,Hectares,356.2
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Ninh,Hectares,369.9
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Ninh,Hectares,370.3
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Ninh,Hectares,370.4
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Ninh,Hectares,370.3
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Duong,Hectares,10.2
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Duong,Hectares,10.4
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Duong,Hectares,10.4
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Duong,Hectares,10.4
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Duong,Hectares,11.1
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Duong,Hectares,11.1
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Duong,Hectares,9.1
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Duong,Hectares,9.0
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Duong,Hectares,9.0
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Phong,Hectares,18.0
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Phong,Hectares,18.0
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Phong,Hectares,18.0
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Phong,Hectares,18.0
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Phong,Hectares,18.0
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Phong,Hectares,18.3
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Phong,Hectares,13.8
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Phong,Hectares,13.9
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hai Phong,Hectares,13.8
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai Binh,Hectares,7.3
