Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai Binh,Hectares,7.3
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai Binh,Hectares,5.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai Binh,Hectares,5.7
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai Binh,Hectares,5.9
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai Binh,Hectares,3.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai Binh,Hectares,4.6
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai Binh,Hectares,4.2
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai Binh,Hectares,4.3
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Nam,Hectares,4.8
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Nam,Hectares,4.8
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Nam,Hectares,4.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Nam,Hectares,4.8
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Nam,Hectares,4.8
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Nam,Hectares,5.5
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Nam,Hectares,5.5
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Nam,Hectares,5.4
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Nam,Hectares,5.4
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nam Dinh,Hectares,3.6
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nam Dinh,Hectares,3.7
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nam Dinh,Hectares,3.5
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nam Dinh,Hectares,3.5
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nam Dinh,Hectares,3.5
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nam Dinh,Hectares,3.1
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nam Dinh,Hectares,3.1
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nam Dinh,Hectares,3.1
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nam Dinh,Hectares,3.1
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh Binh,Hectares,27.2
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh Binh,Hectares,26.9
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh Binh,Hectares,26.9
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh Binh,Hectares,26.6
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh Binh,Hectares,27.4
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh Binh,Hectares,26.2
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh Binh,Hectares,27.5
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh Binh,Hectares,27.3
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh Binh,Hectares,27.6
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Giang,Hectares,444.9
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Giang,Hectares,447.9
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Giang,Hectares,447.9
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Giang,Hectares,437.2
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Giang,Hectares,437.0
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Giang,Hectares,455.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Giang,Hectares,448.9
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Giang,Hectares,459.2
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Giang,Hectares,470.1
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Cao Bang,Hectares,336.8
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Cao Bang,Hectares,338.3
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Cao Bang,Hectares,339.0
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Cao Bang,Hectares,339.5
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Cao Bang,Hectares,339.2
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Cao Bang,Hectares,360.5
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Cao Bang,Hectares,360.8
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Cao Bang,Hectares,367.9
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Cao Bang,Hectares,373.3
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Kan,Hectares,288.1
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Kan,Hectares,296.9
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Kan,Hectares,367.5
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Kan,Hectares,368.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Kan,Hectares,370.0
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Kan,Hectares,370.2
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Kan,Hectares,370.4
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Kan,Hectares,371.9
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Kan,Hectares,371.9
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tuyen Quang,Hectares,390.1
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tuyen Quang,Hectares,397.4
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tuyen Quang,Hectares,405.5
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tuyen Quang,Hectares,408.6
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tuyen Quang,Hectares,415.6
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tuyen Quang,Hectares,415.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tuyen Quang,Hectares,417.0
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tuyen Quang,Hectares,422.5
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tuyen Quang,Hectares,424.7
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lao Cai,Hectares,327.8
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lao Cai,Hectares,333.6
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lao Cai,Hectares,334.9
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lao Cai,Hectares,344.3
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lao Cai,Hectares,351.4
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lao Cai,Hectares,348.3
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lao Cai,Hectares,353.0
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lao Cai,Hectares,361.1
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lao Cai,Hectares,367.5
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Yen Bai,Hectares,410.7
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Yen Bai,Hectares,410.8
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Yen Bai,Hectares,414.6
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Yen Bai,Hectares,407.8
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Yen Bai,Hectares,430.9
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Yen Bai,Hectares,453.1
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Yen Bai,Hectares,454.8
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Yen Bai,Hectares,464.2
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Yen Bai,Hectares,462.3
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai  Nguyen,Hectares,175.1
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai  Nguyen,Hectares,177.8
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai  Nguyen,Hectares,178.8
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai  Nguyen,Hectares,181.0
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai  Nguyen,Hectares,182.7
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai  Nguyen,Hectares,185.5
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai  Nguyen,Hectares,186.5
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai  Nguyen,Hectares,187.4
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thai  Nguyen,Hectares,187.5
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lang Son,Hectares,409.4
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lang Son,Hectares,418.9
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lang Son,Hectares,435.1
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lang Son,Hectares,448.2
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lang Son,Hectares,467.2
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lang Son,Hectares,513.8
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lang Son,Hectares,522.5
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lang Son,Hectares,533.0
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lang Son,Hectares,531.7
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Giang,Hectares,127.3
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Giang,Hectares,144.4
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Giang,Hectares,145.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Giang,Hectares,149.4
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Giang,Hectares,152.4
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Giang,Hectares,156.4
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Giang,Hectares,159.0
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Giang,Hectares,160.3
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Giang,Hectares,160.5
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Tho,Hectares,183.1
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Tho,Hectares,182.7
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Tho,Hectares,184.6
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Tho,Hectares,184.6
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Tho,Hectares,185.8
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Tho,Hectares,170.5
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Tho,Hectares,170.8
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Tho,Hectares,171.7
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Tho,Hectares,171.6
