Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2011,A,0,_X,A,N,VC_DSR_MMHN,VN,NUMBER,257
2012,A,0,_X,A,N,VC_DSR_MMHN,VN,NUMBER,269
2013,A,0,_X,A,N,VC_DSR_MMHN,VN,NUMBER,313
2014,A,0,_X,A,N,VC_DSR_MMHN,VN,NUMBER,145
2015,A,0,_X,A,N,VC_DSR_MMHN,VN,NUMBER,157
2016,A,0,_X,A,N,VC_DSR_MMHN,VN,NUMBER,264
2017,A,0,_X,A,N,VC_DSR_MMHN,VN,NUMBER,389
2018,A,0,_X,A,N,VC_DSR_MMHN,VN,NUMBER,218
2019,A,0,_X,A,N,VC_DSR_MMHN,VN,NUMBER,133
2011,A,0,_X,A,N,VC_DSR_IJILN,VN,NUMBER,267
2012,A,0,_X,A,N,VC_DSR_IJILN,VN,NUMBER,440
2013,A,0,_X,A,N,VC_DSR_IJILN,VN,NUMBER,1150
2014,A,0,_X,A,N,VC_DSR_IJILN,VN,NUMBER,165
2015,A,0,_X,A,N,VC_DSR_IJILN,VN,NUMBER,199
2016,A,0,_X,A,N,VC_DSR_IJILN,VN,NUMBER,431
2017,A,0,_X,A,N,VC_DSR_IJILN,VN,NUMBER,668
2018,A,0,_X,A,N,VC_DSR_IJILN,VN,NUMBER,157
2019,A,0,_X,A,N,VC_DSR_IJILN,VN,NUMBER,183
