Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2010,A,0,_X,A,N,SH_STA_TRAFN,VN,NUMBER,11060
2011,A,0,_X,A,N,SH_STA_TRAFN,VN,NUMBER,10800
2012,A,0,_X,A,N,SH_STA_TRAFN,VN,NUMBER,9540
2013,A,0,_X,A,N,SH_STA_TRAFN,VN,NUMBER,9627
2014,A,0,_X,A,N,SH_STA_TRAFN,VN,NUMBER,8845
2015,A,0,_X,A,N,SH_STA_TRAFN,VN,NUMBER,8435
2016,A,0,_X,A,N,SH_STA_TRAFN,VN,NUMBER,8417
2017,A,0,_X,A,N,SH_STA_TRAFN,VN,NUMBER,8089
2018,A,0,_X,A,N,SH_STA_TRAFN,VN,NUMBER,8079
2019,A,0,_X,A,N,SH_STA_TRAFN,VN,NUMBER,7472
2010,A,0,_X,A,N,SH_STA_TRAFN,01,NUMBER,754
2011,A,0,_X,A,N,SH_STA_TRAFN,01,NUMBER,714
2012,A,0,_X,A,N,SH_STA_TRAFN,01,NUMBER,585
2013,A,0,_X,A,N,SH_STA_TRAFN,01,NUMBER,626
2014,A,0,_X,A,N,SH_STA_TRAFN,01,NUMBER,584
2015,A,0,_X,A,N,SH_STA_TRAFN,01,NUMBER,567
2016,A,0,_X,A,N,SH_STA_TRAFN,01,NUMBER,0
2017,A,0,_X,A,N,SH_STA_TRAFN,01,NUMBER,562
2018,A,0,_X,A,N,SH_STA_TRAFN,01,NUMBER,532
2019,A,0,_X,A,N,SH_STA_TRAFN,01,NUMBER,493
2010,A,0,_X,A,N,SH_STA_TRAFN,26,NUMBER,86
2011,A,0,_X,A,N,SH_STA_TRAFN,26,NUMBER,84
2012,A,0,_X,A,N,SH_STA_TRAFN,26,NUMBER,52
2013,A,0,_X,A,N,SH_STA_TRAFN,26,NUMBER,47
2014,A,0,_X,A,N,SH_STA_TRAFN,26,NUMBER,40
2015,A,0,_X,A,N,SH_STA_TRAFN,26,NUMBER,36
2016,A,0,_X,A,N,SH_STA_TRAFN,26,NUMBER,37
2017,A,0,_X,A,N,SH_STA_TRAFN,26,NUMBER,50
2018,A,0,_X,A,N,SH_STA_TRAFN,26,NUMBER,33
2019,A,0,_X,A,N,SH_STA_TRAFN,26,NUMBER,31
2010,A,0,_X,A,N,SH_STA_TRAFN,27,NUMBER,179
2011,A,0,_X,A,N,SH_STA_TRAFN,27,NUMBER,104
2012,A,0,_X,A,N,SH_STA_TRAFN,27,NUMBER,108
2013,A,0,_X,A,N,SH_STA_TRAFN,27,NUMBER,109
2014,A,0,_X,A,N,SH_STA_TRAFN,27,NUMBER,104
2015,A,0,_X,A,N,SH_STA_TRAFN,27,NUMBER,97
2016,A,0,_X,A,N,SH_STA_TRAFN,27,NUMBER,89
2017,A,0,_X,A,N,SH_STA_TRAFN,27,NUMBER,87
2018,A,0,_X,A,N,SH_STA_TRAFN,27,NUMBER,83
2019,A,0,_X,A,N,SH_STA_TRAFN,27,NUMBER,80
2010,A,0,_X,A,N,SH_STA_TRAFN,22,NUMBER,162
2011,A,0,_X,A,N,SH_STA_TRAFN,22,NUMBER,129
2012,A,0,_X,A,N,SH_STA_TRAFN,22,NUMBER,128
2013,A,0,_X,A,N,SH_STA_TRAFN,22,NUMBER,112
2014,A,0,_X,A,N,SH_STA_TRAFN,22,NUMBER,92
2015,A,0,_X,A,N,SH_STA_TRAFN,22,NUMBER,86
2016,A,0,_X,A,N,SH_STA_TRAFN,22,NUMBER,81
2017,A,0,_X,A,N,SH_STA_TRAFN,22,NUMBER,115
2018,A,0,_X,A,N,SH_STA_TRAFN,22,NUMBER,66
2019,A,0,_X,A,N,SH_STA_TRAFN,22,NUMBER,66
2010,A,0,_X,A,N,SH_STA_TRAFN,30,NUMBER,226
2011,A,0,_X,A,N,SH_STA_TRAFN,30,NUMBER,195
2012,A,0,_X,A,N,SH_STA_TRAFN,30,NUMBER,172
2013,A,0,_X,A,N,SH_STA_TRAFN,30,NUMBER,159
2014,A,0,_X,A,N,SH_STA_TRAFN,30,NUMBER,154
2015,A,0,_X,A,N,SH_STA_TRAFN,30,NUMBER,130
2016,A,0,_X,A,N,SH_STA_TRAFN,30,NUMBER,188
2017,A,0,_X,A,N,SH_STA_TRAFN,30,NUMBER,90
2018,A,0,_X,A,N,SH_STA_TRAFN,30,NUMBER,189
2019,A,0,_X,A,N,SH_STA_TRAFN,30,NUMBER,201
2010,A,0,_X,A,N,SH_STA_TRAFN,31,NUMBER,130
2011,A,0,_X,A,N,SH_STA_TRAFN,31,NUMBER,126
2012,A,0,_X,A,N,SH_STA_TRAFN,31,NUMBER,104
2013,A,0,_X,A,N,SH_STA_TRAFN,31,NUMBER,96
2014,A,0,_X,A,N,SH_STA_TRAFN,31,NUMBER,92
2015,A,0,_X,A,N,SH_STA_TRAFN,31,NUMBER,84
2016,A,0,_X,A,N,SH_STA_TRAFN,31,NUMBER,87
2017,A,0,_X,A,N,SH_STA_TRAFN,31,NUMBER,71
2018,A,0,_X,A,N,SH_STA_TRAFN,31,NUMBER,83
2019,A,0,_X,A,N,SH_STA_TRAFN,31,NUMBER,77
2010,A,0,_X,A,N,SH_STA_TRAFN,33,NUMBER,183
2011,A,0,_X,A,N,SH_STA_TRAFN,33,NUMBER,173
2012,A,0,_X,A,N,SH_STA_TRAFN,33,NUMBER,146
2013,A,0,_X,A,N,SH_STA_TRAFN,33,NUMBER,149
2014,A,0,_X,A,N,SH_STA_TRAFN,33,NUMBER,134
2015,A,0,_X,A,N,SH_STA_TRAFN,33,NUMBER,115
2016,A,0,_X,A,N,SH_STA_TRAFN,33,NUMBER,112
2017,A,0,_X,A,N,SH_STA_TRAFN,33,NUMBER,83
2018,A,0,_X,A,N,SH_STA_TRAFN,33,NUMBER,111
2019,A,0,_X,A,N,SH_STA_TRAFN,33,NUMBER,110
2010,A,0,_X,A,N,SH_STA_TRAFN,34,NUMBER,65
2011,A,0,_X,A,N,SH_STA_TRAFN,34,NUMBER,64
2012,A,0,_X,A,N,SH_STA_TRAFN,34,NUMBER,60
2013,A,0,_X,A,N,SH_STA_TRAFN,34,NUMBER,72
2014,A,0,_X,A,N,SH_STA_TRAFN,34,NUMBER,70
2015,A,0,_X,A,N,SH_STA_TRAFN,34,NUMBER,68
2016,A,0,_X,A,N,SH_STA_TRAFN,34,NUMBER,67
2017,A,0,_X,A,N,SH_STA_TRAFN,34,NUMBER,81
