Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN,,PT,9.2
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN,,PT,7.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN,,PT,6.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN,,PT,5.7
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN,U,PT,3.5
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN,U,PT,2.7
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN,U,PT,1.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN,U,PT,1.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN,R,PT,11.8
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN,R,PT,10.8
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN,R,PT,9.6
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN,R,PT,8.0
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN_01,,PT,3.1
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN_01,,PT,2.6
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN_01,,PT,1.9
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN_01,,PT,1.6
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN_02,,PT,23.0
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN_02,,PT,21.0
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN_02,,PT,18.4
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN_02,,PT,16.4
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN_03,,PT,11.6
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN_03,,PT,10.2
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN_03,,PT,8.7
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN_03,,PT,7.4
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN_04,,PT,18.5
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN_04,,PT,17.1
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN_04,,PT,13.9
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN_04,,PT,12.4
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN_05,,PT,1.0
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN_05,,PT,0.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN_05,,PT,0.6
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN_05,,PT,0.5
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN_06,,PT,8.6
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN_06,,PT,7.4
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN_06,,PT,5.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN_06,,PT,4.8
2016,A,0,_X,A,N,SD_MDP_MUHHC,01,,PT,1.4
2017,A,0,_X,A,N,SD_MDP_MUHHC,01,,PT,1.3
2018,A,0,_X,A,N,SD_MDP_MUHHC,01,,PT,0.9
2019,A,0,_X,A,N,SD_MDP_MUHHC,01,,PT,0.7
2016,A,0,_X,A,N,SD_MDP_MUHHC,26,,PT,5.1
2017,A,0,_X,A,N,SD_MDP_MUHHC,26,,PT,4.5
2018,A,0,_X,A,N,SD_MDP_MUHHC,26,,PT,3.4
2019,A,0,_X,A,N,SD_MDP_MUHHC,26,,PT,2.9
2016,A,0,_X,A,N,SD_MDP_MUHHC,27,,PT,1.9
2017,A,0,_X,A,N,SD_MDP_MUHHC,27,,PT,1.4
2018,A,0,_X,A,N,SD_MDP_MUHHC,27,,PT,1.1
2019,A,0,_X,A,N,SD_MDP_MUHHC,27,,PT,0.8
2016,A,0,_X,A,N,SD_MDP_MUHHC,22,,PT,4.3
2017,A,0,_X,A,N,SD_MDP_MUHHC,22,,PT,3.8
2018,A,0,_X,A,N,SD_MDP_MUHHC,22,,PT,2.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,22,,PT,2.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,30,,PT,3.6
2017,A,0,_X,A,N,SD_MDP_MUHHC,30,,PT,3.1
2018,A,0,_X,A,N,SD_MDP_MUHHC,30,,PT,2.3
2019,A,0,_X,A,N,SD_MDP_MUHHC,30,,PT,2.0
2016,A,0,_X,A,N,SD_MDP_MUHHC,31,,PT,2.1
2017,A,0,_X,A,N,SD_MDP_MUHHC,31,,PT,1.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,31,,PT,1.4
2019,A,0,_X,A,N,SD_MDP_MUHHC,31,,PT,1.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,33,,PT,4.2
2017,A,0,_X,A,N,SD_MDP_MUHHC,33,,PT,3.7
2018,A,0,_X,A,N,SD_MDP_MUHHC,33,,PT,2.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,33,,PT,2.3
2016,A,0,_X,A,N,SD_MDP_MUHHC,34,,PT,4.7
2017,A,0,_X,A,N,SD_MDP_MUHHC,34,,PT,4.0
2018,A,0,_X,A,N,SD_MDP_MUHHC,34,,PT,2.9
2019,A,0,_X,A,N,SD_MDP_MUHHC,34,,PT,2.4
2016,A,0,_X,A,N,SD_MDP_MUHHC,35,,PT,4.9
2017,A,0,_X,A,N,SD_MDP_MUHHC,35,,PT,4.1
2018,A,0,_X,A,N,SD_MDP_MUHHC,35,,PT,2.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,35,,PT,2.3
2016,A,0,_X,A,N,SD_MDP_MUHHC,36,,PT,4.2
2017,A,0,_X,A,N,SD_MDP_MUHHC,36,,PT,3.6
2018,A,0,_X,A,N,SD_MDP_MUHHC,36,,PT,2.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,36,,PT,2.3
2016,A,0,_X,A,N,SD_MDP_MUHHC,37,,PT,4.5
2017,A,0,_X,A,N,SD_MDP_MUHHC,37,,PT,3.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,37,,PT,2.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,37,,PT,2.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,02,,PT,39.8
2017,A,0,_X,A,N,SD_MDP_MUHHC,02,,PT,36.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,02,,PT,32.6
2019,A,0,_X,A,N,SD_MDP_MUHHC,02,,PT,29.1
2016,A,0,_X,A,N,SD_MDP_MUHHC,04,,PT,37.3
2017,A,0,_X,A,N,SD_MDP_MUHHC,04,,PT,34.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,04,,PT,31.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,04,,PT,28.5
2016,A,0,_X,A,N,SD_MDP_MUHHC,06,,PT,29.7
2017,A,0,_X,A,N,SD_MDP_MUHHC,06,,PT,27.7
2018,A,0,_X,A,N,SD_MDP_MUHHC,06,,PT,25.1
2019,A,0,_X,A,N,SD_MDP_MUHHC,06,,PT,22.5
2016,A,0,_X,A,N,SD_MDP_MUHHC,08,,PT,22.0
2017,A,0,_X,A,N,SD_MDP_MUHHC,08,,PT,19.6
2018,A,0,_X,A,N,SD_MDP_MUHHC,08,,PT,17.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,08,,PT,15.1
2016,A,0,_X,A,N,SD_MDP_MUHHC,10,,PT,26.4
2017,A,0,_X,A,N,SD_MDP_MUHHC,10,,PT,23.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,10,,PT,20.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,10,,PT,17.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,15,,PT,26.1
2017,A,0,_X,A,N,SD_MDP_MUHHC,15,,PT,23.6
2018,A,0,_X,A,N,SD_MDP_MUHHC,15,,PT,20.3
2019,A,0,_X,A,N,SD_MDP_MUHHC,15,,PT,17.5
2016,A,0,_X,A,N,SD_MDP_MUHHC,19,,PT,7.8
2017,A,0,_X,A,N,SD_MDP_MUHHC,19,,PT,7.4
2018,A,0,_X,A,N,SD_MDP_MUHHC,19,,PT,6.0
2019,A,0,_X,A,N,SD_MDP_MUHHC,19,,PT,5.1
2016,A,0,_X,A,N,SD_MDP_MUHHC,20,,PT,23.5
2017,A,0,_X,A,N,SD_MDP_MUHHC,20,,PT,20.6
2018,A,0,_X,A,N,SD_MDP_MUHHC,20,,PT,18.4
2019,A,0,_X,A,N,SD_MDP_MUHHC,20,,PT,15.9
2016,A,0,_X,A,N,SD_MDP_MUHHC,24,,PT,6.4
2017,A,0,_X,A,N,SD_MDP_MUHHC,24,,PT,5.4
2018,A,0,_X,A,N,SD_MDP_MUHHC,24,,PT,3.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,24,,PT,3.3
2016,A,0,_X,A,N,SD_MDP_MUHHC,25,,PT,10.3
2017,A,0,_X,A,N,SD_MDP_MUHHC,25,,PT,9.2
2018,A,0,_X,A,N,SD_MDP_MUHHC,25,,PT,7.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,25,,PT,6.5
2016,A,0,_X,A,N,SD_MDP_MUHHC,11,,PT,53.9
2017,A,0,_X,A,N,SD_MDP_MUHHC,11,,PT,50.2
2018,A,0,_X,A,N,SD_MDP_MUHHC,11,,PT,44.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,11,,PT,39.9
2016,A,0,_X,A,N,SD_MDP_MUHHC,12,,PT,44.3
2017,A,0,_X,A,N,SD_MDP_MUHHC,12,,PT,41.6
2018,A,0,_X,A,N,SD_MDP_MUHHC,12,,PT,37.1
2019,A,0,_X,A,N,SD_MDP_MUHHC,12,,PT,33.0
2016,A,0,_X,A,N,SD_MDP_MUHHC,14,,PT,42.8
2017,A,0,_X,A,N,SD_MDP_MUHHC,14,,PT,41.0
2018,A,0,_X,A,N,SD_MDP_MUHHC,14,,PT,36.3
2019,A,0,_X,A,N,SD_MDP_MUHHC,14,,PT,33.0
2016,A,0,_X,A,N,SD_MDP_MUHHC,17,,PT,17.8
2017,A,0,_X,A,N,SD_MDP_MUHHC,17,,PT,15.4
2018,A,0,_X,A,N,SD_MDP_MUHHC,17,,PT,12.7
2019,A,0,_X,A,N,SD_MDP_MUHHC,17,,PT,10.5
2016,A,0,_X,A,N,SD_MDP_MUHHC,38,,PT,11.9
2017,A,0,_X,A,N,SD_MDP_MUHHC,38,,PT,10.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,38,,PT,8.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,38,,PT,8.0
2016,A,0,_X,A,N,SD_MDP_MUHHC,40,,PT,17.7
2017,A,0,_X,A,N,SD_MDP_MUHHC,40,,PT,16.4
2018,A,0,_X,A,N,SD_MDP_MUHHC,40,,PT,13.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,40,,PT,12.1
2016,A,0,_X,A,N,SD_MDP_MUHHC,42,,PT,12.5
2017,A,0,_X,A,N,SD_MDP_MUHHC,42,,PT,10.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,42,,PT,8.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,42,,PT,7.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,44,,PT,13.7
2017,A,0,_X,A,N,SD_MDP_MUHHC,44,,PT,12.1
2018,A,0,_X,A,N,SD_MDP_MUHHC,44,,PT,10.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,44,,PT,9.3
2016,A,0,_X,A,N,SD_MDP_MUHHC,45,,PT,16.1
2017,A,0,_X,A,N,SD_MDP_MUHHC,45,,PT,14.3
2018,A,0,_X,A,N,SD_MDP_MUHHC,45,,PT,12.6
2019,A,0,_X,A,N,SD_MDP_MUHHC,45,,PT,10.9
2016,A,0,_X,A,N,SD_MDP_MUHHC,46,,PT,7.3
2017,A,0,_X,A,N,SD_MDP_MUHHC,46,,PT,6.5
2018,A,0,_X,A,N,SD_MDP_MUHHC,46,,PT,4.7
2019,A,0,_X,A,N,SD_MDP_MUHHC,46,,PT,4.0
2016,A,0,_X,A,N,SD_MDP_MUHHC,48,,PT,1.5
2017,A,0,_X,A,N,SD_MDP_MUHHC,48,,PT,1.2
2018,A,0,_X,A,N,SD_MDP_MUHHC,48,,PT,0.9
2019,A,0,_X,A,N,SD_MDP_MUHHC,48,,PT,0.7
2016,A,0,_X,A,N,SD_MDP_MUHHC,49,,PT,13.7
2017,A,0,_X,A,N,SD_MDP_MUHHC,49,,PT,12.6
2018,A,0,_X,A,N,SD_MDP_MUHHC,49,,PT,10.3
2019,A,0,_X,A,N,SD_MDP_MUHHC,49,,PT,9.1
2016,A,0,_X,A,N,SD_MDP_MUHHC,51,,PT,13.7
2017,A,0,_X,A,N,SD_MDP_MUHHC,51,,PT,12.2
2018,A,0,_X,A,N,SD_MDP_MUHHC,51,,PT,10.1
2019,A,0,_X,A,N,SD_MDP_MUHHC,51,,PT,8.4
2016,A,0,_X,A,N,SD_MDP_MUHHC,52,,PT,8.0
2017,A,0,_X,A,N,SD_MDP_MUHHC,52,,PT,6.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,52,,PT,5.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,52,,PT,4.6
2016,A,0,_X,A,N,SD_MDP_MUHHC,54,,PT,9.9
2017,A,0,_X,A,N,SD_MDP_MUHHC,54,,PT,8.8
2018,A,0,_X,A,N,SD_MDP_MUHHC,54,,PT,7.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,54,,PT,6.3
2016,A,0,_X,A,N,SD_MDP_MUHHC,56,,PT,5.9
2017,A,0,_X,A,N,SD_MDP_MUHHC,56,,PT,5.0
2018,A,0,_X,A,N,SD_MDP_MUHHC,56,,PT,3.7
2019,A,0,_X,A,N,SD_MDP_MUHHC,56,,PT,3.0
2016,A,0,_X,A,N,SD_MDP_MUHHC,58,,PT,13.4
2017,A,0,_X,A,N,SD_MDP_MUHHC,58,,PT,12.6
2018,A,0,_X,A,N,SD_MDP_MUHHC,58,,PT,11.0
2019,A,0,_X,A,N,SD_MDP_MUHHC,58,,PT,9.8
2016,A,0,_X,A,N,SD_MDP_MUHHC,60,,PT,4.4
2017,A,0,_X,A,N,SD_MDP_MUHHC,60,,PT,3.6
2018,A,0,_X,A,N,SD_MDP_MUHHC,60,,PT,2.6
2019,A,0,_X,A,N,SD_MDP_MUHHC,60,,PT,2.1
2016,A,0,_X,A,N,SD_MDP_MUHHC,62,,PT,34.0
2017,A,0,_X,A,N,SD_MDP_MUHHC,62,,PT,31.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,62,,PT,27.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,62,,PT,24.1
2016,A,0,_X,A,N,SD_MDP_MUHHC,64,,PT,30.2
2017,A,0,_X,A,N,SD_MDP_MUHHC,64,,PT,27.5
2018,A,0,_X,A,N,SD_MDP_MUHHC,64,,PT,23.4
2019,A,0,_X,A,N,SD_MDP_MUHHC,64,,PT,20.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,66,,PT,15.4
2017,A,0,_X,A,N,SD_MDP_MUHHC,66,,PT,13.5
2018,A,0,_X,A,N,SD_MDP_MUHHC,66,,PT,10.9
2019,A,0,_X,A,N,SD_MDP_MUHHC,66,,PT,9.1
2016,A,0,_X,A,N,SD_MDP_MUHHC,67,,PT,17.1
2017,A,0,_X,A,N,SD_MDP_MUHHC,67,,PT,14.8
2018,A,0,_X,A,N,SD_MDP_MUHHC,67,,PT,12.1
2019,A,0,_X,A,N,SD_MDP_MUHHC,67,,PT,10.1
2016,A,0,_X,A,N,SD_MDP_MUHHC,68,,PT,8.1
2017,A,0,_X,A,N,SD_MDP_MUHHC,68,,PT,6.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,68,,PT,5.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,68,,PT,4.8
2016,A,0,_X,A,N,SD_MDP_MUHHC,70,,PT,6.7
2017,A,0,_X,A,N,SD_MDP_MUHHC,70,,PT,6.0
2018,A,0,_X,A,N,SD_MDP_MUHHC,70,,PT,4.4
2019,A,0,_X,A,N,SD_MDP_MUHHC,70,,PT,3.7
2016,A,0,_X,A,N,SD_MDP_MUHHC,72,,PT,2.5
2017,A,0,_X,A,N,SD_MDP_MUHHC,72,,PT,2.2
2018,A,0,_X,A,N,SD_MDP_MUHHC,72,,PT,1.7
2019,A,0,_X,A,N,SD_MDP_MUHHC,72,,PT,1.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,74,,PT,1.1
2017,A,0,_X,A,N,SD_MDP_MUHHC,74,,PT,0.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,74,,PT,0.7
2019,A,0,_X,A,N,SD_MDP_MUHHC,74,,PT,0.6
2016,A,0,_X,A,N,SD_MDP_MUHHC,75,,PT,0.8
2017,A,0,_X,A,N,SD_MDP_MUHHC,75,,PT,0.7
2018,A,0,_X,A,N,SD_MDP_MUHHC,75,,PT,0.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,75,,PT,0.3
2016,A,0,_X,A,N,SD_MDP_MUHHC,77,,PT,1.3
2017,A,0,_X,A,N,SD_MDP_MUHHC,77,,PT,1.1
2018,A,0,_X,A,N,SD_MDP_MUHHC,77,,PT,0.9
2019,A,0,_X,A,N,SD_MDP_MUHHC,77,,PT,0.7
2016,A,0,_X,A,N,SD_MDP_MUHHC,79,,PT,0.2
2017,A,0,_X,A,N,SD_MDP_MUHHC,79,,PT,0.1
2018,A,0,_X,A,N,SD_MDP_MUHHC,79,,PT,0.1
2019,A,0,_X,A,N,SD_MDP_MUHHC,79,,PT,0.1
2016,A,0,_X,A,N,SD_MDP_MUHHC,80,,PT,4.8
2017,A,0,_X,A,N,SD_MDP_MUHHC,80,,PT,4.0
2018,A,0,_X,A,N,SD_MDP_MUHHC,80,,PT,2.9
2019,A,0,_X,A,N,SD_MDP_MUHHC,80,,PT,2.5
2016,A,0,_X,A,N,SD_MDP_MUHHC,82,,PT,5.7
2017,A,0,_X,A,N,SD_MDP_MUHHC,82,,PT,4.7
2018,A,0,_X,A,N,SD_MDP_MUHHC,82,,PT,3.2
2019,A,0,_X,A,N,SD_MDP_MUHHC,82,,PT,2.6
2016,A,0,_X,A,N,SD_MDP_MUHHC,83,,PT,10.1
2017,A,0,_X,A,N,SD_MDP_MUHHC,83,,PT,8.7
2018,A,0,_X,A,N,SD_MDP_MUHHC,83,,PT,6.7
2019,A,0,_X,A,N,SD_MDP_MUHHC,83,,PT,5.6
2016,A,0,_X,A,N,SD_MDP_MUHHC,84,,PT,13.9
2017,A,0,_X,A,N,SD_MDP_MUHHC,84,,PT,12.0
2018,A,0,_X,A,N,SD_MDP_MUHHC,84,,PT,9.9
2019,A,0,_X,A,N,SD_MDP_MUHHC,84,,PT,8.4
2016,A,0,_X,A,N,SD_MDP_MUHHC,86,,PT,9.3
2017,A,0,_X,A,N,SD_MDP_MUHHC,86,,PT,7.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,86,,PT,6.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,86,,PT,5.8
2016,A,0,_X,A,N,SD_MDP_MUHHC,87,,PT,8.0
2017,A,0,_X,A,N,SD_MDP_MUHHC,87,,PT,6.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,87,,PT,5.6
2019,A,0,_X,A,N,SD_MDP_MUHHC,87,,PT,4.7
2016,A,0,_X,A,N,SD_MDP_MUHHC,89,,PT,7.6
2017,A,0,_X,A,N,SD_MDP_MUHHC,89,,PT,6.8
2018,A,0,_X,A,N,SD_MDP_MUHHC,89,,PT,5.7
2019,A,0,_X,A,N,SD_MDP_MUHHC,89,,PT,4.9
2016,A,0,_X,A,N,SD_MDP_MUHHC,91,,PT,8.2
2017,A,0,_X,A,N,SD_MDP_MUHHC,91,,PT,7.1
2018,A,0,_X,A,N,SD_MDP_MUHHC,91,,PT,5.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,91,,PT,4.8
2016,A,0,_X,A,N,SD_MDP_MUHHC,92,,PT,4.6
2017,A,0,_X,A,N,SD_MDP_MUHHC,92,,PT,3.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,92,,PT,2.7
2019,A,0,_X,A,N,SD_MDP_MUHHC,92,,PT,2.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,93,,PT,10.7
2017,A,0,_X,A,N,SD_MDP_MUHHC,93,,PT,9.4
2018,A,0,_X,A,N,SD_MDP_MUHHC,93,,PT,7.3
2019,A,0,_X,A,N,SD_MDP_MUHHC,93,,PT,6.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,94,,PT,10.2
2017,A,0,_X,A,N,SD_MDP_MUHHC,94,,PT,8.7
2018,A,0,_X,A,N,SD_MDP_MUHHC,94,,PT,6.7
2019,A,0,_X,A,N,SD_MDP_MUHHC,94,,PT,5.6
2016,A,0,_X,A,N,SD_MDP_MUHHC,95,,PT,13.3
2017,A,0,_X,A,N,SD_MDP_MUHHC,95,,PT,11.5
2018,A,0,_X,A,N,SD_MDP_MUHHC,95,,PT,9.4
2019,A,0,_X,A,N,SD_MDP_MUHHC,95,,PT,7.9
2016,A,0,_X,A,N,SD_MDP_MUHHC,96,,PT,11.9
2017,A,0,_X,A,N,SD_MDP_MUHHC,96,,PT,10.1
2018,A,0,_X,A,N,SD_MDP_MUHHC,96,,PT,8.3
2019,A,0,_X,A,N,SD_MDP_MUHHC,96,,PT,6.9
