Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2019,A,0,_X,A,N,SP_DYN_MRBF15,77,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,79,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,80,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,82,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,83,F,Y20T24,,PT,0.0
2019,A,0,_X,A,N,SP_DYN_MRBF15,84,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,86,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,87,F,Y20T24,,PT,0.3
2019,A,0,_X,A,N,SP_DYN_MRBF15,89,F,Y20T24,,PT,0.8
2019,A,0,_X,A,N,SP_DYN_MRBF15,91,F,Y20T24,,PT,0.3
2019,A,0,_X,A,N,SP_DYN_MRBF15,92,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,93,F,Y20T24,,PT,0.4
2019,A,0,_X,A,N,SP_DYN_MRBF15,94,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,95,F,Y20T24,,PT,0.3
2019,A,0,_X,A,N,SP_DYN_MRBF15,96,F,Y20T24,,PT,0.3
2010,A,0,_X,A,N,SP_DYN_MRBF18,VN,F,Y20T24,,PT,9.3
2014,A,0,_X,A,N,SP_DYN_MRBF18,VN,F,Y20T24,,PT,10.6
2019,A,0,_X,A,N,SP_DYN_MRBF18,VN,F,Y20T24,,PT,9.1
2019,A,0,_X,A,N,SP_DYN_MRBF18,VN,F,Y20T24,U,PT,3.7
2019,A,0,_X,A,N,SP_DYN_MRBF18,VN,F,Y20T24,R,PT,12.6
2019,A,0,_X,A,N,SP_DYN_MRBF18,VN_01,F,Y20T24,,PT,6.0
2019,A,0,_X,A,N,SP_DYN_MRBF18,VN_02,F,Y20T24,,PT,21.5
2019,A,0,_X,A,N,SP_DYN_MRBF18,VN_03,F,Y20T24,,PT,7.7
