Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2010,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,97931.8
2011,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,108709.0
2012,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,116043.7
2013,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,124528.2
2014,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,139060.4
2015,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,154664.7
2016,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,169076.9
2017,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,186834.4
2018,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,206672.7
2019,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,230779.9
