Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2014,A,0,_X,A,N,SH_XPD_EARN10,VN,,PT,9.81
2016,A,0,_X,A,N,SH_XPD_EARN10,VN,,PT,9.39
2014,A,0,_X,A,N,SH_XPD_EARN10,VN,U,PT,7.46
2016,A,0,_X,A,N,SH_XPD_EARN10,VN,U,PT,9.14
2014,A,0,_X,A,N,SH_XPD_EARN10,VN,R,PT,10.83
2016,A,0,_X,A,N,SH_XPD_EARN10,VN,R,PT,9.51
2014,A,0,_X,A,N,SH_XPD_EARN25,VN,,PT,2.07
2016,A,0,_X,A,N,SH_XPD_EARN25,VN,,PT,1.9
2014,A,0,_X,A,N,SH_XPD_EARN25,VN,U,PT,1.35
2016,A,0,_X,A,N,SH_XPD_EARN25,VN,U,PT,1.87
2014,A,0,_X,A,N,SH_XPD_EARN25,VN,R,PT,2.37
2016,A,0,_X,A,N,SH_XPD_EARN25,VN,R,PT,2.37
