Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2010,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,,PT,24.9
2013,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,,PT,25.9
2014,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,,PT,24.9
2015,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,,PT,24.6
2016,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,,PT,24.5
2017,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,,PT,24.2
2018,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,,PT,24.3
2019,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,,PT,19.9
2010,A,0,_X,A,N,SH_STA_STNT,VN,M,Y0T4,,PT,26.7
2013,A,0,_X,A,N,SH_STA_STNT,VN,M,Y0T4,,PT,..
2014,A,0,_X,A,N,SH_STA_STNT,VN,M,Y0T4,,PT,26.7
2015,A,0,_X,A,N,SH_STA_STNT,VN,M,Y0T4,,PT,24.9
2016,A,0,_X,A,N,SH_STA_STNT,VN,M,Y0T4,,PT,24.7
2017,A,0,_X,A,N,SH_STA_STNT,VN,M,Y0T4,,PT,24.9
2018,A,0,_X,A,N,SH_STA_STNT,VN,M,Y0T4,,PT,24.6
2019,A,0,_X,A,N,SH_STA_STNT,VN,M,Y0T4,,PT,20.1
2010,A,0,_X,A,N,SH_STA_STNT,VN,F,Y0T4,,PT,23.1
2013,A,0,_X,A,N,SH_STA_STNT,VN,F,Y0T4,,PT,..
2014,A,0,_X,A,N,SH_STA_STNT,VN,F,Y0T4,,PT,23.1
2015,A,0,_X,A,N,SH_STA_STNT,VN,F,Y0T4,,PT,22.6
2016,A,0,_X,A,N,SH_STA_STNT,VN,F,Y0T4,,PT,22.5
2017,A,0,_X,A,N,SH_STA_STNT,VN,F,Y0T4,,PT,22.6
2018,A,0,_X,A,N,SH_STA_STNT,VN,F,Y0T4,,PT,23.3
2019,A,0,_X,A,N,SH_STA_STNT,VN,F,Y0T4,,PT,18
2010,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,U,PT,15.9
2013,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,U,PT,..
2014,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,U,PT,15.9
2015,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,U,PT,10.8
2016,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,U,PT,10.6
2017,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,U,PT,10.5
2018,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,U,PT,10.2
2019,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,U,PT,6.2
2010,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,R,PT,28.7
2013,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,R,PT,..
2014,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,R,PT,28.7
2015,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,R,PT,28.1
2016,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,R,PT,28
2017,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,R,PT,27.1
2018,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,R,PT,26.7
2019,A,0,_X,A,N,SH_STA_STNT,VN,,Y0T4,R,PT,23.7
2018,A,0,_X,A,N,SH_STA_STNT,VN_01,,Y0T4,,PT,21.4
2019,A,0,_X,A,N,SH_STA_STNT,VN_01,,Y0T4,,PT,19.5
2018,A,0,_X,A,N,SH_STA_STNT,VN_02,,Y0T4,,PT,30
2019,A,0,_X,A,N,SH_STA_STNT,VN_02,,Y0T4,,PT,28
2018,A,0,_X,A,N,SH_STA_STNT,VN_03,,Y0T4,,PT,27.1
2019,A,0,_X,A,N,SH_STA_STNT,VN_03,,Y0T4,,PT,22.9
2018,A,0,_X,A,N,SH_STA_STNT,VN_04,,Y0T4,,PT,33.6
2019,A,0,_X,A,N,SH_STA_STNT,VN_04,,Y0T4,,PT,31.9
2018,A,0,_X,A,N,SH_STA_STNT,VN_05,,Y0T4,,PT,18.9
2019,A,0,_X,A,N,SH_STA_STNT,VN_05,,Y0T4,,PT,17
2018,A,0,_X,A,N,SH_STA_STNT,VN_06,,Y0T4,,PT,23.1
2019,A,0,_X,A,N,SH_STA_STNT,VN_06,,Y0T4,,PT,19.1
2018,A,0,_X,A,N,SH_STA_STNT,01,,Y0T4,,PT,14.4
2019,A,0,_X,A,N,SH_STA_STNT,01,,Y0T4,,PT,12.6
2018,A,0,_X,A,N,SH_STA_STNT,26,,Y0T4,,PT,23.3
2019,A,0,_X,A,N,SH_STA_STNT,26,,Y0T4,,PT,19.3
2018,A,0,_X,A,N,SH_STA_STNT,27,,Y0T4,,PT,25.3
2019,A,0,_X,A,N,SH_STA_STNT,27,,Y0T4,,PT,21.5
2018,A,0,_X,A,N,SH_STA_STNT,22,,Y0T4,,PT,24
2019,A,0,_X,A,N,SH_STA_STNT,22,,Y0T4,,PT,23.2
2018,A,0,_X,A,N,SH_STA_STNT,30,,Y0T4,,PT,19.9
2019,A,0,_X,A,N,SH_STA_STNT,30,,Y0T4,,PT,16.2
2018,A,0,_X,A,N,SH_STA_STNT,31,,Y0T4,,PT,18.6
2019,A,0,_X,A,N,SH_STA_STNT,31,,Y0T4,,PT,16.7
2018,A,0,_X,A,N,SH_STA_STNT,33,,Y0T4,,PT,23.3
2019,A,0,_X,A,N,SH_STA_STNT,33,,Y0T4,,PT,19.6
2018,A,0,_X,A,N,SH_STA_STNT,34,,Y0T4,,PT,23.3
2019,A,0,_X,A,N,SH_STA_STNT,34,,Y0T4,,PT,20.6
2018,A,0,_X,A,N,SH_STA_STNT,35,,Y0T4,,PT,22.3
2019,A,0,_X,A,N,SH_STA_STNT,35,,Y0T4,,PT,18.7
2019,A,0,_X,A,N,SH_STA_STNT,36,,Y0T4,,PT,16.7
2018,A,0,_X,A,N,SH_STA_STNT,37,,Y0T4,,PT,23.8
2019,A,0,_X,A,N,SH_STA_STNT,37,,Y0T4,,PT,20.4
2018,A,0,_X,A,N,SH_STA_STNT,02,,Y0T4,,PT,34.1
2019,A,0,_X,A,N,SH_STA_STNT,02,,Y0T4,,PT,32.7
2018,A,0,_X,A,N,SH_STA_STNT,04,,Y0T4,,PT,31.2
2019,A,0,_X,A,N,SH_STA_STNT,04,,Y0T4,,PT,27.8
2018,A,0,_X,A,N,SH_STA_STNT,06,,Y0T4,,PT,28.5
2019,A,0,_X,A,N,SH_STA_STNT,06,,Y0T4,,PT,25.1
2018,A,0,_X,A,N,SH_STA_STNT,08,,Y0T4,,PT,25.2
2019,A,0,_X,A,N,SH_STA_STNT,08,,Y0T4,,PT,21.6
2018,A,0,_X,A,N,SH_STA_STNT,10,,Y0T4,,PT,34.3
2019,A,0,_X,A,N,SH_STA_STNT,10,,Y0T4,,PT,30.7
2018,A,0,_X,A,N,SH_STA_STNT,15,,Y0T4,,PT,28
2019,A,0,_X,A,N,SH_STA_STNT,15,,Y0T4,,PT,23.9
2018,A,0,_X,A,N,SH_STA_STNT,19,,Y0T4,,PT,22.4
2019,A,0,_X,A,N,SH_STA_STNT,19,,Y0T4,,PT,19.6
2018,A,0,_X,A,N,SH_STA_STNT,20,,Y0T4,,PT,25.6
2019,A,0,_X,A,N,SH_STA_STNT,20,,Y0T4,,PT,22.1
2018,A,0,_X,A,N,SH_STA_STNT,24,,Y0T4,,PT,26.4
2019,A,0,_X,A,N,SH_STA_STNT,24,,Y0T4,,PT,22.5
2018,A,0,_X,A,N,SH_STA_STNT,25,,Y0T4,,PT,25.7
2019,A,0,_X,A,N,SH_STA_STNT,25,,Y0T4,,PT,22.1
2018,A,0,_X,A,N,SH_STA_STNT,11,,Y0T4,,PT,30.8
2019,A,0,_X,A,N,SH_STA_STNT,11,,Y0T4,,PT,29.5
2018,A,0,_X,A,N,SH_STA_STNT,12,,Y0T4,,PT,35.5
2019,A,0,_X,A,N,SH_STA_STNT,12,,Y0T4,,PT,34.1
2018,A,0,_X,A,N,SH_STA_STNT,14,,Y0T4,,PT,33.3
2019,A,0,_X,A,N,SH_STA_STNT,14,,Y0T4,,PT,32
2018,A,0,_X,A,N,SH_STA_STNT,17,,Y0T4,,PT,24.6
2019,A,0,_X,A,N,SH_STA_STNT,17,,Y0T4,,PT,21
2018,A,0,_X,A,N,SH_STA_STNT,38,,Y0T4,,PT,28
2019,A,0,_X,A,N,SH_STA_STNT,38,,Y0T4,,PT,24
2018,A,0,_X,A,N,SH_STA_STNT,40,,Y0T4,,PT,27.9
2019,A,0,_X,A,N,SH_STA_STNT,40,,Y0T4,,PT,24.3
2018,A,0,_X,A,N,SH_STA_STNT,42,,Y0T4,,PT,28.7
2019,A,0,_X,A,N,SH_STA_STNT,42,,Y0T4,,PT,25.1
2018,A,0,_X,A,N,SH_STA_STNT,44,,Y0T4,,PT,29.3
2019,A,0,_X,A,N,SH_STA_STNT,44,,Y0T4,,PT,28.1
2018,A,0,_X,A,N,SH_STA_STNT,45,,Y0T4,,PT,27
2019,A,0,_X,A,N,SH_STA_STNT,45,,Y0T4,,PT,23.3
2018,A,0,_X,A,N,SH_STA_STNT,46,,Y0T4,,PT,24.2
2019,A,0,_X,A,N,SH_STA_STNT,46,,Y0T4,,PT,20.6
2018,A,0,_X,A,N,SH_STA_STNT,48,,Y0T4,,PT,13.1
2019,A,0,_X,A,N,SH_STA_STNT,48,,Y0T4,,PT,9.3
2018,A,0,_X,A,N,SH_STA_STNT,49,,Y0T4,,PT,26.2
2019,A,0,_X,A,N,SH_STA_STNT,49,,Y0T4,,PT,22.7
2018,A,0,_X,A,N,SH_STA_STNT,51,,Y0T4,,PT,23.9
2019,A,0,_X,A,N,SH_STA_STNT,51,,Y0T4,,PT,20.4
2018,A,0,_X,A,N,SH_STA_STNT,52,,Y0T4,,PT,23.5
2019,A,0,_X,A,N,SH_STA_STNT,52,,Y0T4,,PT,19.9
2018,A,0,_X,A,N,SH_STA_STNT,54,,Y0T4,,PT,27.1
2019,A,0,_X,A,N,SH_STA_STNT,54,,Y0T4,,PT,26
2018,A,0,_X,A,N,SH_STA_STNT,56,,Y0T4,,PT,21.9
2019,A,0,_X,A,N,SH_STA_STNT,56,,Y0T4,,PT,18.3
2018,A,0,_X,A,N,SH_STA_STNT,58,,Y0T4,,PT,26.6
2019,A,0,_X,A,N,SH_STA_STNT,58,,Y0T4,,PT,22.6
2018,A,0,_X,A,N,SH_STA_STNT,60,,Y0T4,,PT,27.1
2019,A,0,_X,A,N,SH_STA_STNT,60,,Y0T4,,PT,23.6
2018,A,0,_X,A,N,SH_STA_STNT,62,,Y0T4,,PT,37.4
2019,A,0,_X,A,N,SH_STA_STNT,62,,Y0T4,,PT,34.3
2018,A,0,_X,A,N,SH_STA_STNT,64,,Y0T4,,PT,34.2
2019,A,0,_X,A,N,SH_STA_STNT,64,,Y0T4,,PT,30.9
2018,A,0,_X,A,N,SH_STA_STNT,66,,Y0T4,,PT,21.8
2019,A,0,_X,A,N,SH_STA_STNT,66,,Y0T4,,PT,28
2018,A,0,_X,A,N,SH_STA_STNT,67,,Y0T4,,PT,32.1
2019,A,0,_X,A,N,SH_STA_STNT,67,,Y0T4,,PT,28.6
2018,A,0,_X,A,N,SH_STA_STNT,68,,Y0T4,,PT,22.5
2019,A,0,_X,A,N,SH_STA_STNT,68,,Y0T4,,PT,18.4
2018,A,0,_X,A,N,SH_STA_STNT,70,,Y0T4,,PT,27.2
2019,A,0,_X,A,N,SH_STA_STNT,70,,Y0T4,,PT,25.5
2018,A,0,_X,A,N,SH_STA_STNT,72,,Y0T4,,PT,22.1
2019,A,0,_X,A,N,SH_STA_STNT,72,,Y0T4,,PT,18.1
2018,A,0,_X,A,N,SH_STA_STNT,74,,Y0T4,,PT,21
2019,A,0,_X,A,N,SH_STA_STNT,74,,Y0T4,,PT,17
2018,A,0,_X,A,N,SH_STA_STNT,75,,Y0T4,,PT,23.8
2019,A,0,_X,A,N,SH_STA_STNT,75,,Y0T4,,PT,20.1
2018,A,0,_X,A,N,SH_STA_STNT,77,,Y0T4,,PT,18.8
2019,A,0,_X,A,N,SH_STA_STNT,77,,Y0T4,,PT,15
2018,A,0,_X,A,N,SH_STA_STNT,79,,Y0T4,,PT,6.8
2019,A,0,_X,A,N,SH_STA_STNT,79,,Y0T4,,PT,4.2
2018,A,0,_X,A,N,SH_STA_STNT,80,,Y0T4,,PT,18.2
2019,A,0,_X,A,N,SH_STA_STNT,80,,Y0T4,,PT,15.1
2018,A,0,_X,A,N,SH_STA_STNT,82,,Y0T4,,PT,24
2019,A,0,_X,A,N,SH_STA_STNT,82,,Y0T4,,PT,20
2018,A,0,_X,A,N,SH_STA_STNT,83,,Y0T4,,PT,21.5
2019,A,0,_X,A,N,SH_STA_STNT,83,,Y0T4,,PT,17.5
2018,A,0,_X,A,N,SH_STA_STNT,84,,Y0T4,,PT,22.5
2019,A,0,_X,A,N,SH_STA_STNT,84,,Y0T4,,PT,19.1
2018,A,0,_X,A,N,SH_STA_STNT,86,,Y0T4,,PT,22.6
2019,A,0,_X,A,N,SH_STA_STNT,86,,Y0T4,,PT,18.6
2018,A,0,_X,A,N,SH_STA_STNT,87,,Y0T4,,PT,24.6
2019,A,0,_X,A,N,SH_STA_STNT,87,,Y0T4,,PT,21.1
2018,A,0,_X,A,N,SH_STA_STNT,89,,Y0T4,,PT,23
2019,A,0,_X,A,N,SH_STA_STNT,89,,Y0T4,,PT,19.5
2018,A,0,_X,A,N,SH_STA_STNT,91,,Y0T4,,PT,21.2
2019,A,0,_X,A,N,SH_STA_STNT,91,,Y0T4,,PT,17.2
2018,A,0,_X,A,N,SH_STA_STNT,92,,Y0T4,,PT,20.5
2019,A,0,_X,A,N,SH_STA_STNT,92,,Y0T4,,PT,17
2018,A,0,_X,A,N,SH_STA_STNT,93,,Y0T4,,PT,25.4
2019,A,0,_X,A,N,SH_STA_STNT,93,,Y0T4,,PT,21.6
2018,A,0,_X,A,N,SH_STA_STNT,94,,Y0T4,,PT,24.3
2019,A,0,_X,A,N,SH_STA_STNT,94,,Y0T4,,PT,21.2
2018,A,0,_X,A,N,SH_STA_STNT,95,,Y0T4,,PT,24.1
2019,A,0,_X,A,N,SH_STA_STNT,95,,Y0T4,,PT,20.2
2018,A,0,_X,A,N,SH_STA_STNT,96,,Y0T4,,PT,23.2
2019,A,0,_X,A,N,SH_STA_STNT,96,,Y0T4,,PT,19.2
