Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2011,Normal value,Units,Not Available,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Viet Nam,Female,Percent,24.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Viet Nam,Female,Percent,27.31
