Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,Annual,National,Energy intensity level of primary energy [7.3.1],Viet Nam,"kg oil equivalent per USD1,000 constant PPP GDP",498.6
2016,Normal value,Units,Not Available,Annual,National,Energy intensity level of primary energy [7.3.1],Viet Nam,"kg oil equivalent per USD1,000 constant PPP GDP",512.8
2017,Normal value,Units,Not Available,Annual,National,Energy intensity level of primary energy [7.3.1],Viet Nam,"kg oil equivalent per USD1,000 constant PPP GDP",492.3
2018,Normal value,Units,Not Available,Annual,National,Energy intensity level of primary energy [7.3.1],Viet Nam,"kg oil equivalent per USD1,000 constant PPP GDP",542.2
