Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2013,Normal value,Units,Not Available,Annual,National,Research and development expenditure as a proportion of GDP [9.5.1],Viet Nam,Percent,0.374
2015,Normal value,Units,Not Available,Annual,National,Research and development expenditure as a proportion of GDP [9.5.1],Viet Nam,Percent,0.441
2017,Normal value,Units,Not Available,Annual,National,Research and development expenditure as a proportion of GDP [9.5.1],Viet Nam,Percent,0.527
