Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2013,Normal value,Units,Not Available,Annual,National,Consumer Food Price Index [2.c.1],Viet Nam,Percent,102.7
2014,Normal value,Units,Not Available,Annual,National,Consumer Food Price Index [2.c.1],Viet Nam,Percent,104.0
2015,Normal value,Units,Not Available,Annual,National,Consumer Food Price Index [2.c.1],Viet Nam,Percent,101.5
2016,Normal value,Units,Not Available,Annual,National,Consumer Food Price Index [2.c.1],Viet Nam,Percent,102.4
2017,Normal value,Units,Not Available,Annual,National,Consumer Food Price Index [2.c.1],Viet Nam,Percent,98.9
2018,Normal value,Units,Not Available,Annual,National,Consumer Food Price Index [2.c.1],Viet Nam,Percent,103.2
2019,Normal value,Units,Not Available,Annual,National,Consumer Food Price Index [2.c.1],Viet Nam,Percent,104.1
