Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2010,A,0,_X,A,N,AG_LND_FRST,VN,PT,39.5
2011,A,0,_X,A,N,AG_LND_FRST,VN,PT,39.7
2012,A,0,_X,A,N,AG_LND_FRST,VN,PT,40.7
2013,A,0,_X,A,N,AG_LND_FRST,VN,PT,41.0
2014,A,0,_X,A,N,AG_LND_FRST,VN,PT,40.4
2015,A,0,_X,A,N,AG_LND_FRST,VN,PT,40.8
2016,A,0,_X,A,N,AG_LND_FRST,VN,PT,41.2
2018,A,0,_X,A,N,AG_LND_FRST,VN,PT,41.7
2019,A,0,_X,A,N,AG_LND_FRST,VN,PT,41.9
2014,A,0,_X,A,N,AG_LND_FRST,VN_01,PT,23.7
2015,A,0,_X,A,N,AG_LND_FRST,VN_01,PT,21.5
2016,A,0,_X,A,N,AG_LND_FRST,VN_01,PT,21.9
2018,A,0,_X,A,N,AG_LND_FRST,VN_01,PT,22.0
2019,A,0,_X,A,N,AG_LND_FRST,VN_01,PT,22.1
2014,A,0,_X,A,N,AG_LND_FRST,VN_02,PT,50.5
2015,A,0,_X,A,N,AG_LND_FRST,VN_02,PT,51.5
2016,A,0,_X,A,N,AG_LND_FRST,VN_02,PT,51.1
2018,A,0,_X,A,N,AG_LND_FRST,VN_02,PT,52.3
2019,A,0,_X,A,N,AG_LND_FRST,VN_02,PT,53.1
2014,A,0,_X,A,N,AG_LND_FRST,VN_03,PT,51.9
2015,A,0,_X,A,N,AG_LND_FRST,VN_03,PT,51.5
2016,A,0,_X,A,N,AG_LND_FRST,VN_03,PT,56.5
2018,A,0,_X,A,N,AG_LND_FRST,VN_03,PT,53.3
2019,A,0,_X,A,N,AG_LND_FRST,VN_03,PT,54.0
2014,A,0,_X,A,N,AG_LND_FRST,VN_04,PT,45.8
2015,A,0,_X,A,N,AG_LND_FRST,VN_04,PT,46.1
2016,A,0,_X,A,N,AG_LND_FRST,VN_04,PT,46.0
2018,A,0,_X,A,N,AG_LND_FRST,VN_04,PT,46.0
2019,A,0,_X,A,N,AG_LND_FRST,VN_04,PT,45.9
2014,A,0,_X,A,N,AG_LND_FRST,VN_05,PT,19.9
2015,A,0,_X,A,N,AG_LND_FRST,VN_05,PT,19.9
2016,A,0,_X,A,N,AG_LND_FRST,VN_05,PT,19.3
2018,A,0,_X,A,N,AG_LND_FRST,VN_05,PT,19.4
2019,A,0,_X,A,N,AG_LND_FRST,VN_05,PT,19.4
2014,A,0,_X,A,N,AG_LND_FRST,VN_06,PT,5.9
2015,A,0,_X,A,N,AG_LND_FRST,VN_06,PT,5.6
2016,A,0,_X,A,N,AG_LND_FRST,VN_06,PT,4.4
2018,A,0,_X,A,N,AG_LND_FRST,VN_06,PT,5.3
2019,A,0,_X,A,N,AG_LND_FRST,VN_06,PT,5.4
2010,A,0,_X,A,N,AG_LND_FRST,01,PT,7.0
2011,A,0,_X,A,N,AG_LND_FRST,01,PT,7.0
2012,A,0,_X,A,N,AG_LND_FRST,01,PT,7.1
2013,A,0,_X,A,N,AG_LND_FRST,01,PT,6.8
2014,A,0,_X,A,N,AG_LND_FRST,01,PT,6.8
2015,A,0,_X,A,N,AG_LND_FRST,01,PT,5.6
2016,A,0,_X,A,N,AG_LND_FRST,01,PT,5.6
2018,A,0,_X,A,N,AG_LND_FRST,01,PT,5.5
2019,A,0,_X,A,N,AG_LND_FRST,01,PT,5.7
2010,A,0,_X,A,N,AG_LND_FRST,26,PT,22.4
2011,A,0,_X,A,N,AG_LND_FRST,26,PT,22.1
2012,A,0,_X,A,N,AG_LND_FRST,26,PT,24.1
2013,A,0,_X,A,N,AG_LND_FRST,26,PT,25.0
2014,A,0,_X,A,N,AG_LND_FRST,26,PT,24.9
2015,A,0,_X,A,N,AG_LND_FRST,26,PT,24.1
2016,A,0,_X,A,N,AG_LND_FRST,26,PT,23.8
2018,A,0,_X,A,N,AG_LND_FRST,26,PT,24.4
2019,A,0,_X,A,N,AG_LND_FRST,26,PT,24.7
2010,A,0,_X,A,N,AG_LND_FRST,27,PT,0.7
2011,A,0,_X,A,N,AG_LND_FRST,27,PT,0.7
2012,A,0,_X,A,N,AG_LND_FRST,27,PT,0.7
2013,A,0,_X,A,N,AG_LND_FRST,27,PT,0.7
2014,A,0,_X,A,N,AG_LND_FRST,27,PT,0.7
2015,A,0,_X,A,N,AG_LND_FRST,27,PT,0.7
2016,A,0,_X,A,N,AG_LND_FRST,27,PT,0.7
2018,A,0,_X,A,N,AG_LND_FRST,27,PT,0.7
2019,A,0,_X,A,N,AG_LND_FRST,27,PT,0.7
2010,A,0,_X,A,N,AG_LND_FRST,22,PT,46.2
2011,A,0,_X,A,N,AG_LND_FRST,22,PT,47.7
2012,A,0,_X,A,N,AG_LND_FRST,22,PT,48.9
2013,A,0,_X,A,N,AG_LND_FRST,22,PT,53.0
2014,A,0,_X,A,N,AG_LND_FRST,22,PT,53.5
2015,A,0,_X,A,N,AG_LND_FRST,22,PT,53.6
2016,A,0,_X,A,N,AG_LND_FRST,22,PT,54.1
2018,A,0,_X,A,N,AG_LND_FRST,22,PT,54.7
2019,A,0,_X,A,N,AG_LND_FRST,22,PT,54.8
2010,A,0,_X,A,N,AG_LND_FRST,30,PT,6.2
2011,A,0,_X,A,N,AG_LND_FRST,30,PT,6.3
2012,A,0,_X,A,N,AG_LND_FRST,30,PT,6.3
2013,A,0,_X,A,N,AG_LND_FRST,30,PT,6.3
