Indicator,Disaggregation combinations using this value
#2-2-1,1
#2-2-2,1
#3-1-1,1
#3-2-1,1
#3-4-2,1
#3-a-1,1
#4-2-1,1
#5-2-1,60
#5-2-2,18
#5-3-1,144
#5-5-1,1
#8-3-1,1
#8-5-2,1
