Indicator
#1-2-2
#1-5-1
#10-1-1
#11-5-1
#13-1-1
#15-1-1
#15-3-1
#16-2-1
#16-5-2
#16-6-1
#16-9-1
#2-2-1
#2-2-2
#2-c-1
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-4-2
#3-6-1
#3-7-2
#3-8-2
#3-a-1
#4-2-1
#4-a-1
#5-2-1
#5-2-2
#5-3-1
#5-5-1
#7-1-1
#7-2-1
#7-3-1
#8-10-1
#8-10-2
#8-3-1
#8-5-2
#8-6-1
#8-7-1
#9-1-2
#9-2-1
#9-2-2
#9-5-1
