Indicator
#16-2-1
#16-9-1
#2-2-1
#2-2-2
#3-2-1
#3-2-2
#3-7-2
#4-2-1
#5-2-1
#5-2-2
#5-3-1
#8-10-2
#8-3-1
#8-5-2
#8-6-1
#8-7-1
