Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,Value
2010,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y_GE15,,,PT,6.4
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y_GE15,,,PT,4.6
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y_GE15,U,,PT,3.0
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y_GE15,R,,PT,5.4
2019,A,0,_X,A,N,VC_VAW_PHYV,VN_01,F,Y_GE15,,,PT,4.7
2019,A,0,_X,A,N,VC_VAW_PHYV,VN_02,F,Y_GE15,,,PT,3.3
2019,A,0,_X,A,N,VC_VAW_PHYV,VN_03,F,Y_GE15,,,PT,6.1
2019,A,0,_X,A,N,VC_VAW_PHYV,VN_04,F,Y_GE15,,,PT,7.9
2019,A,0,_X,A,N,VC_VAW_PHYV,VN_05,F,Y_GE15,,,PT,3.4
2019,A,0,_X,A,N,VC_VAW_PHYV,VN_06,F,Y_GE15,,,PT,4.0
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y15T19,,,PT,2.4
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y20T24,,,PT,4.7
2010,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y25T29,,,PT,9.2
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y25T29,,,PT,6.5
2010,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y30T34,,,PT,7.5
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y30T34,,,PT,5.9
2010,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y35T39,,,PT,8.3
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y35T39,,,PT,4.2
2010,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y40T44,,,PT,6.2
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y40T44,,,PT,5.0
2010,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y45T49,,,PT,5.6
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y45T49,,,PT,4.2
2010,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y50T54,,,PT,5.2
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y50T54,,,PT,4.2
2010,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y55T64,,,PT,0.9
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y55T64,,,PT,3.5
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y_GE15,,ISCED11A_01,PT,6.3
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y_GE15,,ISCED11_1,PT,6.5
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y_GE15,,ISCED11_2,PT,3.8
2019,A,0,_X,A,N,VC_VAW_PHYV,VN,F,Y_GE15,,ISCED11_3,PT,3.7
2010,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y_GE15,,,PT,4.2
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y_GE15,,,PT,5.7
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y_GE15,U,,PT,4.6
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y_GE15,R,,PT,6.2
2019,A,0,_X,A,N,VC_VAW_SEXV,VN_01,F,Y_GE15,,,PT,7.2
2019,A,0,_X,A,N,VC_VAW_SEXV,VN_02,F,Y_GE15,,,PT,6.2
2019,A,0,_X,A,N,VC_VAW_SEXV,VN_03,F,Y_GE15,,,PT,5.6
2019,A,0,_X,A,N,VC_VAW_SEXV,VN_04,F,Y_GE15,,,PT,3.3
2019,A,0,_X,A,N,VC_VAW_SEXV,VN_05,F,Y_GE15,,,PT,5.7
2019,A,0,_X,A,N,VC_VAW_SEXV,VN_06,F,Y_GE15,,,PT,4.3
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y15T19,,,PT,5.9
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y20T24,,,PT,7.4
2010,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y25T29,,,PT,7.0
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y25T29,,,PT,7.1
2010,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y30T34,,,PT,4.7
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y30T34,,,PT,8.3
2010,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y35T39,,,PT,5.5
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y35T39,,,PT,5.7
2010,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y40T44,,,PT,5.2
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y40T44,,,PT,6.1
2010,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y45T49,,,PT,3.9
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y45T49,,,PT,4.6
2010,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y50T54,,,PT,2.1
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y50T54,,,PT,4.7
2010,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y55T64,,,PT,0.8
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y55T64,,,PT,3.0
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y_GE15,,ISCED11A_01,PT,5.3
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y_GE15,,ISCED11_1,PT,5.8
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y_GE15,,ISCED11_2,PT,5.5
2019,A,0,_X,A,N,VC_VAW_SEXV,VN,F,Y_GE15,,ISCED11_3,PT,6.9
2010,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y_GE15,,,PT,25.4
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y_GE15,,,PT,19.3
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y_GE15,U,,PT,16.0
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y_GE15,R,,PT,20.9
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y15T19,,,PT,12.9
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y20T24,,,PT,22.3
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y25T29,,,PT,26.2
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y30T34,,,PT,23.9
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y35T39,,,PT,19.5
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y40T44,,,PT,21.8
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y45T49,,,PT,16.9
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y50T54,,,PT,14.5
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y55T64,,,PT,14.4
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y_GE15,,ISCED11A_01,PT,18.6
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y_GE15,,ISCED11_1,PT,20.1
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y_GE15,,ISCED11_2,PT,20.0
2019,A,0,_X,A,N,VC_VAW_PSYV,VN,F,Y_GE15,,ISCED11_3,PT,18.8
