Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2013,Normal value,Units,Not Available,Annual,National,Proportion of land that is degraded over total land area [15.3.1],Viet Nam,Percent,28.0
2016,Normal value,Units,Not Available,Annual,National,Proportion of land that is degraded over total land area [15.3.1],Viet Nam,Percent,31.0
2017,Normal value,Units,Not Available,Annual,National,Proportion of land that is degraded over total land area [15.3.1],Viet Nam,Percent,31.7
