Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2010,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,97931.8
2011,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,108709.0
2012,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,116043.7
2013,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,124528.2
2014,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,139060.4
2015,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,154664.7
2016,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,169076.9
2017,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,186834.4
2018,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,206672.7
2019,A,6,_X,A,N,IS_RDP_PFVOL,VN,P_KM,230779.9
2010,A,6,_X,A,N,IS_RDP_PFVOL,VN_01,P_KM,14947.2
2011,A,6,_X,A,N,IS_RDP_PFVOL,VN_01,P_KM,16372.1
2012,A,6,_X,A,N,IS_RDP_PFVOL,VN_01,P_KM,17829.8
2013,A,6,_X,A,N,IS_RDP_PFVOL,VN_01,P_KM,19318.9
2014,A,6,_X,A,N,IS_RDP_PFVOL,VN_01,P_KM,20869.3
2015,A,6,_X,A,N,IS_RDP_PFVOL,VN_01,P_KM,22627.8
2016,A,6,_X,A,N,IS_RDP_PFVOL,VN_01,P_KM,24629.5
2017,A,6,_X,A,N,IS_RDP_PFVOL,VN_01,P_KM,26987.7
2018,A,6,_X,A,N,IS_RDP_PFVOL,VN_01,P_KM,29184.2
2010,A,6,_X,A,N,IS_RDP_PFVOL,VN_02,P_KM,4629.3
2011,A,6,_X,A,N,IS_RDP_PFVOL,VN_02,P_KM,4633.2
2012,A,6,_X,A,N,IS_RDP_PFVOL,VN_02,P_KM,4974.4
2013,A,6,_X,A,N,IS_RDP_PFVOL,VN_02,P_KM,5162.9
2014,A,6,_X,A,N,IS_RDP_PFVOL,VN_02,P_KM,5394.9
2015,A,6,_X,A,N,IS_RDP_PFVOL,VN_02,P_KM,5732.0
2016,A,6,_X,A,N,IS_RDP_PFVOL,VN_02,P_KM,6128.3
2017,A,6,_X,A,N,IS_RDP_PFVOL,VN_02,P_KM,6576.1
2018,A,6,_X,A,N,IS_RDP_PFVOL,VN_02,P_KM,7084.7
2010,A,6,_X,A,N,IS_RDP_PFVOL,VN_03,P_KM,13074.4
2011,A,6,_X,A,N,IS_RDP_PFVOL,VN_03,P_KM,14986.0
2012,A,6,_X,A,N,IS_RDP_PFVOL,VN_03,P_KM,16293.6
2013,A,6,_X,A,N,IS_RDP_PFVOL,VN_03,P_KM,17445.8
2014,A,6,_X,A,N,IS_RDP_PFVOL,VN_03,P_KM,18442.2
2015,A,6,_X,A,N,IS_RDP_PFVOL,VN_03,P_KM,20224.1
2016,A,6,_X,A,N,IS_RDP_PFVOL,VN_03,P_KM,22005.6
2017,A,6,_X,A,N,IS_RDP_PFVOL,VN_03,P_KM,23970.6
2018,A,6,_X,A,N,IS_RDP_PFVOL,VN_03,P_KM,25152.9
2010,A,6,_X,A,N,IS_RDP_PFVOL,VN_04,P_KM,4991.4
2011,A,6,_X,A,N,IS_RDP_PFVOL,VN_04,P_KM,5301.2
2012,A,6,_X,A,N,IS_RDP_PFVOL,VN_04,P_KM,5614.1
2013,A,6,_X,A,N,IS_RDP_PFVOL,VN_04,P_KM,5801.1
